year,cases,ghost_gun_cases,ghost_gun_share
2019,11,0,0.0
2020,30,0,0.0
2021,34,3,0.088
2022,34,2,0.059
2023,37,2,0.054
2024,29,3,0.103
2025,48,1,0.021
2026,12,2,0.167
